No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
340,19.56596659,192.168.1.1,192.168.1.2,TCP,11650,"54384  >  5001 [PSH, ACK] Seq=101361 Ack=1 Win=42496 Len=11584 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56598754,19.56596659,-0.00194183,2.09E-05,-0.001962779
341,19.56598754,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=79641 Win=59392 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56404571,19.56598754,3.56E-05,-0.00194183,0.001977467
342,19.56404571,192.168.1.1,192.168.1.2,TCP,7306,"[TCP Spurious Retransmission] 54384  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=7240 TSval=316238688 TSecr=2680708462",,,,,,,,,,,,,19.56408135,19.56404571,0.001930725,3.56E-05,0.001895088
343,19.56408135,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2680708462 TSecr=316238688,,,,,,,,,,,,,19.56601208,19.56408135,-0.001914978,0.001930725,-0.003845703
344,19.56601208,192.168.1.1,192.168.1.2,TCP,10202,"54384  >  5001 [PSH, ACK] Seq=112945 Ack=1 Win=42496 Len=10136 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.5640971,19.56601208,1.58E-05,-0.001914978,0.001930812
345,19.5640971,192.168.1.1,192.168.1.2,TCP,7306,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=7241 Ack=1 Win=42496 Len=7240 TSval=316238688 TSecr=2680708462",,,,,,,,,,,,,19.56411293,19.5640971,0.001910256,1.58E-05,0.001894422
346,19.56411293,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=14481 Win=35328 Len=0 TSval=2680708462 TSecr=316238688,,,,,,,,,,,,,19.56602319,19.56411293,-0.00145357,0.001910256,-0.003363826
347,19.56602319,192.168.1.1,192.168.1.2,TCP,14546,"54384  >  5001 [PSH, ACK] Seq=123081 Ack=1 Win=42496 Len=14480 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56456962,19.56602319,0.001469439,-0.00145357,0.002923009
348,19.56456962,192.168.1.1,192.168.1.2,TCP,14546,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=14481 Ack=1 Win=42496 Len=14480 TSval=316238689 TSecr=2680708462",,,,,,,,,,,,,19.56603906,19.56456962,-0.001383668,0.001469439,-0.002853107
349,19.56603906,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=101361 Win=102912 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56465539,19.56603906,0.001401106,-0.001383668,0.002784774
350,19.56465539,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=28961 Win=35840 Len=0 TSval=2680708463 TSecr=316238689,,,,,,,,,,,,,19.56605649,19.56465539,1.04E-05,0.001401106,-0.001390733
351,19.56605649,192.168.1.1,192.168.1.2,TCP,7306,"54384  >  5001 [PSH, ACK] Seq=137561 Ack=1 Win=42496 Len=7240 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56606687,19.56605649,-0.001387762,1.04E-05,-0.001398135
352,19.56606687,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=112945 Win=125952 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56467911,19.56606687,7.60E-05,-0.001387762,0.00146373
353,19.56467911,192.168.1.1,192.168.1.2,TCP,7306,"[TCP Spurious Retransmission] 54384  >  5001 [PSH, ACK] Seq=28961 Ack=1 Win=42496 Len=7240 TSval=316238689 TSecr=2680708462",,,,,,,,,,,,,19.56475507,19.56467911,1.36E-05,7.60E-05,-6.24E-05
354,19.56475507,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=36201 Win=31744 Len=0 TSval=2680708463 TSecr=316238689,,,,,,,,,,,,,19.56476863,19.56475507,0.001323327,1.36E-05,0.001309771
355,19.56476863,192.168.1.1,192.168.1.2,TCP,7306,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=36201 Ack=1 Win=42496 Len=7240 TSval=316238689 TSecr=2680708462",,,,,,,,,,,,,19.56609196,19.56476863,-0.001302738,0.001323327,-0.002626065
356,19.56609196,192.168.1.1,192.168.1.2,TCP,21786,"54384  >  5001 [PSH, ACK] Seq=144801 Ack=1 Win=42496 Len=21720 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56478922,19.56609196,0.001312738,-0.001302738,0.002615476
357,19.56478922,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=43441 Win=27648 Len=0 TSval=2680708463 TSecr=316238689,,,,,,,,,,,,,19.56610196,19.56478922,1.22E-05,0.001312738,-0.001300536
358,19.56610196,192.168.1.1,192.168.1.2,TCP,5858,"54384  >  5001 [PSH, ACK] Seq=166521 Ack=1 Win=42496 Len=5792 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56611416,19.56610196,1.34E-05,1.22E-05,1.22E-06
359,19.56611416,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=123081 Win=146432 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56612758,19.56611416,-0.001200515,1.34E-05,-0.001213935
360,19.56612758,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=137561 Win=158208 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56492706,19.56612758,3.45E-05,-0.001200515,0.001235047
361,19.56492706,192.168.1.1,192.168.1.2,TCP,14546,"[TCP Spurious Retransmission] 54384  >  5001 [PSH, ACK] Seq=43441 Ack=1 Win=42496 Len=14480 TSval=316238689 TSecr=2680708463",,,,,,,,,,,,,19.5649616,19.56492706,0.000917591,3.45E-05,0.000883059
362,19.5649616,192.168.1.1,192.168.1.2,TCP,13234,"[TCP Spurious Retransmission] 54384  >  5001 [PSH, ACK] Seq=57921 Ack=1 Win=42496 Len=13168 TSval=316238689 TSecr=2680708463",,,,,,,,,,,,,19.56587919,19.5649616,4.44E-05,0.000917591,-0.000873231
